id,created_at,full_text,media,screen_name,name,profile_image_url,user_id,in_reply_to,retweeted_status,quoted_status,media_tags,favorite_count,retweet_count,bookmark_count,quote_count,reply_count,views_count,favorited,retweeted,bookmarked,url
"1692569315348750391","2023-08-18 21:39:05 +05:30","This app uses AirDrop to send files from your Android phone to your Macbook!\n\nYes, it actually uses AirDrop. That means you don't have to install ANYTHING on your Mac to send files from your Android phone!\n\nHere's a video of a Galaxy Z Flip 5 AirDropping a file to a Macbook running macOS Ventura 13.5.1.\n\n(Thanks to u/FragmentedChicken for testing this app for me and sharing the video!)\n\nA few months ago, Twitter user @Linus13499209 brought an app called WarpShare to my attention. WarpShare is an app made by the developers of MoKee, an AOSP-based custom ROM that was popular in China. Since MoKee wasn't as popular outside of China, it seems the existence of their WarpShare app slipped under the radar.\n\nI was skeptical about whether it would work at all. Grishka, the developer of NearDrop, an open source port of Google's Nearby Share to macOS, told me that they were under the assumption that AirDrop requires the use of AWDL (Apple Wireless Direct Link, Apple's proprietary WiFi-based protocol) to communicate both ways. \n\nHowever, it seems that AWDL is only required for your Android phone to be discoverable by your Mac (ie. to send files from your Mac to your Android phone) but not the other way around. Because of this, though, WarpShare only supports sending files from Android to Mac but not vice versa. \n\nYour Mac also needs to have AirDrop discoverability set to ""everyone"" for this to work, as ""contacts-only"" requires Apple-signed certificates. Plus, it also doesn't support sending files from Android to iPhones or iPads, even when ""everyone"" mode is enabled.\n\nStill, if you find other Android --> Mac file sharing options to be lackluster, give WarpShare a try! The fact that it works at all is incredible, which is why I'm sharing this news here.\n\nIf you want to download WarpShare on your Android device, you'll need to compile the app from its source code. If you're a Patron/X subscriber, however, I will share my compiled APK with you.\n\nWarpShare source code: https://t.co/wkHzYn7lke","[{""type"":""video"",""url"":""https://t.co/VXY71JWviA"",""thumbnail"":""https://pbs.twimg.com/ext_tw_video_thumb/1692565350091558913/pu/img/4bqhhOF8FLzdFpkV.jpg?name=thumb"",""original"":""https://video.twimg.com/ext_tw_video/1692565350091558913/pu/vid/1280x720/ID7m9uCiYJgWopF4.mp4?tag=12""}]","MishaalRahman","Mishaal Rahman","https://pbs.twimg.com/profile_images/1963298357138362368/KBdMosmi_normal.jpg","808392751628873736","null","null","null","[]",5762,826,2403,87,125,1289649,false,false,true,"https://twitter.com/MishaalRahman/status/1692569315348750391"
"1699017470638760060","2023-09-05 16:41:45 +05:30","I second jQuery+bootstrap \n\nRest is hand coded.\n\nI create iterator libs that take Json, ref a template, and that's it.\n\nNo need for frameworks to do trivial stuff... \n\nInstead download some cool js plugins to do specific tasks like drop images, calendar selector. Etc.\n\nAny site should focus on progress over perfection.  Get the product out in the shortest time. Then go back and optimise.\n\nE.g. use a select dropdown, then replace with a proper html/CSS version","[]","vincent_vancode","Vincent Van Code","https://pbs.twimg.com/profile_images/1638774508348907521/B7_9jUec_normal.jpg","1459028328061435904","1698655646298640486","null","null","[]",2,0,2,0,0,1126,false,false,true,"https://twitter.com/vincent_vancode/status/1699017470638760060"
"1699788979409981819","2023-09-07 19:47:27 +05:30","Improve your VS Code Explorer file tree structure.\n\nAdd these settings in your configuration file for better visibility:\n\n```\n""workbench.tree.indent"": 15,\n""workbench.tree.renderIndentGuides"": ""always"",\n""workbench.colorCustomizations"": {\n""tree.indentGuidesStroke"": ""#05ef3c""\n}\n```","[{""type"":""photo"",""url"":""https://t.co/02SiVKo1Yr"",""thumbnail"":""https://pbs.twimg.com/media/F5bb7FSbQAAYWmB?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F5bb7FSbQAAYWmB?format=jpg&name=orig""},{""type"":""photo"",""url"":""https://t.co/02SiVKo1Yr"",""thumbnail"":""https://pbs.twimg.com/media/F5bb7FVbwAA6XA6?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F5bb7FVbwAA6XA6?format=jpg&name=orig""}]","catalinmpit","Catalin","https://pbs.twimg.com/profile_images/1857346432853835776/8kcE9Irs_normal.jpg","173057927","null","null","null","[{""user_id"":""1596145707878158339"",""name"":""Documenso"",""screen_name"":""documenso"",""type"":""user""}]",8369,1043,7577,60,152,1261546,false,false,true,"https://twitter.com/catalinmpit/status/1699788979409981819"
"1701561407555408184","2023-09-12 17:10:27 +05:30","FREE Certification Courses for DevOps & Cloud:\n\n❯ GIT\nhttps://t.co/oeCf69LrFl\n\n❯ Linux\nhttps://t.co/8zoYAFJkhg\n\n❯ DevOps\nhttps://t.co/DlTa48mu5F\n\n❯ CI/CD\nhttps://t.co/yfFsOlbuhO\n\n❯ Docker\nhttps://t.co/jGr29AlsJb\n\n❯ Kubernetes\nhttps://t.co/WuY2fT7J1B\n\n❯ GitHub\nhttps://t.co/dvLh7BBRvb\n\n❯ Cloud Computing\nhttps://t.co/d9AkyNMS4f\n\n❯ AWS\nhttps://t.co/T3TozRBcSo\n\n❯ Azure\nhttps://t.co/NuP1T3JwQ7\n\n❯ GCP\nhttps://t.co/U0xKXEHAQq\n\n❯ Serverless\nhttps://t.co/EGzLpLA16I\n\n❯ Jenkins\nhttps://t.co/HpJFI1NQCV\n\n❯ Puppet\nhttps://t.co/ndzgIX4lkk\n\n❯ Chef\nhttps://t.co/6b9XivPrUo\n\n❯ Ansible\nhttps://t.co/jOtBrS4FKn\n\n❯ Selenium\nhttps://t.co/lMl8GJ4XYR\n\n❯ VirtualBox & vSphere\nhttps://t.co/MUnlfreU4e","[]","swapnakpanda","Swapna Kumar Panda","https://pbs.twimg.com/profile_images/1621910730227449856/iW8AGVCr_normal.jpg","69941978","null","null","null","[]",2023,784,2585,16,31,316867,false,false,true,"https://twitter.com/swapnakpanda/status/1701561407555408184"
"1707024798721691711","2023-09-27 19:00:01 +05:30","5 GitHub repositories will help you build a web app 10x faster:","[]","Prathkum","Pratham","https://pbs.twimg.com/profile_images/1965842512221982720/NjuSrsay_normal.jpg","856155592578158592","null","null","null","[]",1197,277,2134,3,23,307598,false,false,true,"https://twitter.com/Prathkum/status/1707024798721691711"
"1707076834377306486","2023-09-27 22:26:47 +05:30","https://t.co/gzOQEarj8R","[{""type"":""photo"",""url"":""https://t.co/gzOQEarj8R"",""thumbnail"":""https://pbs.twimg.com/media/F7DBVWRWUAEehlm?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F7DBVWRWUAEehlm?format=jpg&name=orig""}]","shubham_j010","SJ","https://pbs.twimg.com/profile_images/1957776893153038336/ouIfY1ad_normal.jpg","2260313401","null","null","null","[]",0,0,1,0,0,19,false,false,true,"https://twitter.com/shubham_j010/status/1707076834377306486"
"1708874202319663273","2023-10-02 21:28:53 +05:30","HOW TO STRUCTURE YOUR BACKEND CODE IN NODE.JS(express.js).\n[with explanation]\n\n  📁\n  ├── 📄 app.js\n  ├── 📁 bin\n  ├── 📁 config\n  ├── 📁 controllers\n  │   ├── 📄 customer.js\n  │   ├── 📄 product.js\n  │   └── ...\n  ├── 📁 middleware\n  │   ├── 📄 auth.js\n  │   ├── 📄 logger.js\n  │   └── ...\n  ├── 📁 models\n  │   ├── 📄 customer.js\n  │   ├── 📄 Product.js\n  │   └── ...\n  ├── 📁 routes\n  │   ├── 📄 api.js\n  │   ├── 📄 auth.js\n  │   └── ...\n  ├── 📁 public\n  │   ├── 📁 css\n  │   ├── 📁 js\n  │   ├── 📁 images\n  │   └── ...\n  ├── 📁 views\n  │   ├── 📄 index.ejs\n  │   ├── 📄 product.ejs\n  │   └── ...\n  ├── 📁 tests\n  │   ├── 📁 unit\n  │   ├── 📁 integration\n  │   ├── 📁 e2e\n  │   └── ...\n  ├── 📁 utils\n  │   ├── 📄 validation.js\n  │   ├── 📄 helpers.js\n  │   └── ...\n  └── 📁 node_modules\n\nHere's a brief explanation:\napp.js\nIt's like the control centre of your web application. It's where you set up and manage everything.\n\nbin\nThink of this as a place for starting your web server. It's where you have scripts that make your website work.\n\nconfig\nThese are like settings for your website, such as where your database is or how your website should behave.\n\ncontrollers\nThis is where you put the brains of your website explains the name controllers. Each file here handles a different part of your site, like customer stuff or product stuff.\n\nmiddleware\nImagine these as helpers that help your website do things like checking if you're logged in or keeping a record of what people do on your site.\n\nmodels\nThis is where you describe what your data looks like. If your website is a store, this is where you say what a product is or what a customer is.\n\nroutes\nThese are like the paths to different parts of the website. If the website is a city, these are the streets and highways.\n\npublic\nThink of this as your storage room for things everyone can see, like images, styles, and scripts.\n\nviews\nIf your website is like a book, these are the pages. This is where you put together what people see on the screen.\n\ntests\nThese are like exams for your website to make sure it works correctly. You create different kinds of tests to check different parts of your site.\n\nutils\nThese are like handy tools you use to make your website better, like checking if someone's email is valid or formatting dates nicely.\n\nnode_modules\nThis is like your toolbox filled with tools (libraries and code) that you use to build your website. It's automatically filled with things your project needs.\n\nThis organized structure helps you build and manage your website in a neat and organised way, making it easier to understand and work on, especially when your project gets bigger and more complex and you have to make changes very often.\nI am not saying that this is the only or the best way, this is what I usually follow and thought about sharing it.","[]","maybeshalinii","Shalini Tewari","https://pbs.twimg.com/profile_images/1965714537300254720/U0S_dJSx_normal.jpg","1685716152327057409","null","null","null","[]",9954,1809,9183,67,245,1110801,false,false,true,"https://twitter.com/maybeshalinii/status/1708874202319663273"
"1709192321148015062","2023-10-03 18:32:59 +05:30","@trunarla For those scratching their head.\nHere' something to read https://t.co/XjbWCjuc4R","[]","happydecoder","happydecoder","https://pbs.twimg.com/profile_images/1629107271077883904/S6iX4rMM_normal.jpg","1442581817601650695","1709190792852447742","null","null","[]",33,1,15,0,2,3371,false,false,true,"https://twitter.com/happydecoder/status/1709192321148015062"
"1709604053641019903","2023-10-04 21:49:03 +05:30","Top 100 Mind blowing movies that are a must-watch!\n\n1. The Prestige (2006)\n2. Memento (2000)\n3. Primer (2004)\n4. Jacob's Ladder (1990)\n5. Being John Malkovich (1999)\n6. Brazil (1985)\n7. Mulholland Dr. (2001)\n8. Shutter Island (2010)\n9. 2001: A Space Odyssey (1968)\n10. Enter the Void (2009)\n11. Magnolia (1999)\n12. Oldboy (2003)\n13. Donnie Darko (2001)\n14. Irréversible (2002)\n15. 1984 (1984)\n16. Cube (1997)\n17. Slaughterhouse-Five (1972)\n18. The Fall (2006)\n19. Predestination (2014)\n20. Synecdoche, New York (2008)\n21. The Butterfly Effect (2004)\n22. Rosemary's Baby (1968)\n23. Moon (2009)\n24. Black Swan (2010)\n25. Triangle (2009)\n26. Eraserhead (1977)\n27. Pi (1998)\n28. Mr. Nobody (2009)\n29. Enemy (2013)\n30. The holy mountain (1973)\n31. Dogtooth (2009)\n32. Requiem for a Dream (2000)\n33. The Cell (2000)\n34. Ex Machina (2014)\n35. Twelve Monkeys (1995)\n36. Prisoners (2013)\n37. Vertigo (1958)\n38. The Usual Suspects (1995)\n39. The Sixth Sense (1999)\n40. The Matrix (1999)\n41. Under the Skin (2013)\n42. The wailing (2016)\n43. Happiness (1998)\n44. Perfect Blue (1997)\n45. Gone Girl (2014)\n46. Mother! (2017)\n47. A tale of two sisters (2003)\n48. Primal Fear (1996)\n49. The Lobster (2015)\n50. The Truman Show (1998)\n51. Fight Club (1999)\n52. Se7en (1995)\n53. Inception (2010)\n54. Vanilla Sky (2001)\n55. The Machinist (2004)\n56. Eternal Sunshine of the Spotless Mind (2004)\n57. Upstream Color (2013)\n58. Groundhog Day (1993)\n59. American Psycho (2000)\n60. The Illusionist (2006)\n61. Hereditary (2018)\n62. Split (2016)\n63. Signs (2002)\n64. Paprika (2006)\n65. Coherence (2013)\n66. The Game (1997)\n67. The Mist (2007)\n68. Midsommar (2019)\n69. Identity (2003)\n70. Get Out (2017)\n71. Incendies (2010)\n72. Annihilation (2018)\n73. The orphanage (2007)\n74. Timecrimes (2007)\n75. Interstellar (2014)\n76. Lost Highway (1997)\n77. Sunshine (2007)\n78. eXistenZ (1999)\n79. The Killing of a Sacred Deer (2017)\n80. A Beautiful Mind (2001)\n81. Sorry to Bother You (2018)\n82. Stalker (1979)\n83. A Clockwork Orange (1971)\n84. Eyes Wide Shut (1999)\n85. The Lighthouse (2019)\n86. Videodrome (1983)\n87. The handmaiden (2016)\n88. Arrival (2016)\n89. Waking Life (2001)\n90. Fear and Loathing in Las Vegas (1998)\n91. The Fountain (2006)\n92. Un chien andalou (1929)\n93. Martyrs (2008)\n94. Adaptation. (2002)\n95. Pan's labyrinth (2006)\n96. Antichrist (2009)\n97. The Gift (2015)\n98. Blue Velvet (1986)\n99. Cloverfield Lane (2016)\n100. The Jacket (2005)","[{""type"":""photo"",""url"":""https://t.co/C0OD30SEbb"",""thumbnail"":""https://pbs.twimg.com/media/F7m7qKvWEAQXfVV?format=jpg&name=thumb"",""original"":""https://pbs.twimg.com/media/F7m7qKvWEAQXfVV?format=jpg&name=orig""}]","awkwardgoogle","Interesting things","https://pbs.twimg.com/profile_images/1843285954473164800/87Vfzdg0_normal.jpg","476199422","null","null","null","[]",5221,1338,4962,27,52,777055,false,false,true,"https://twitter.com/awkwardgoogle/status/1709604053641019903"
"1711049532224438295","2023-10-08 21:32:52 +05:30","Expected revenue growth in the next 5 years:\n\nNvidia: +369%\n\nTesla: +170%\n\nAmazon: +77%\n\nMicrosoft: +77%\n\nMeta: +70%\n\nAdobe: +69%\n\nAlphabet: +67%\n\nNetflix: +59%\n\nSalesforce: +54%\n\nApple: +27%","[]","JonErlichman","Jon Erlichman","https://pbs.twimg.com/profile_images/1843576290244222977/ejsDots8_normal.jpg","164425558","null","null","null","[]",3277,456,1425,45,153,1072959,false,false,true,"https://twitter.com/JonErlichman/status/1711049532224438295"
